resolution,total_images,total_time,avg_time_per_image,avg_masks_per_image
256,10,20.084518432617188,2.0084518432617187,11.7
512,10,23.744576692581177,2.374457669258118,17.9
1024,10,25.99815535545349,2.599815535545349,24.6
