image,resolution,num_masks,time_seconds
pi0_episode_2_success_False_0011.jpg,1024,22,2.6230199337005615
pi0_episode_7_success_False_0027.jpg,1024,34,2.4646072387695312
pi0_episode_5_success_False_0024.jpg,1024,26,2.6201183795928955
pi0_episode_2_success_False_0024.jpg,1024,21,2.6246349811553955
pretrained_model_episode_0_success_False_0006.jpg,1024,25,2.6056807041168213
pi0_episode_5_success_False_0022.jpg,1024,27,2.639753818511963
pi0_episode_4_success_False_0026.jpg,1024,25,2.576462984085083
pretrained_model_episode_3_success_False_0022.jpg,1024,25,2.7760841846466064
pi0_episode_6_success_False_0034.jpg,1024,21,2.440394163131714
pi0_episode_5_success_False_0028.jpg,1024,20,2.62739896774292
